Subdivision,Group Segment,Revenue,Expenses,Service Month,Paid Month
More than 500,Big,8466.699812,450.5696926,May-07,May-07
Pretty Small,Small,8382.214302,958.2511684,Jan-07,May-07
Very Small,Small,8105.417292,647.6468244,Feb-07,Mar-07
Very Small,Small,10051.25539,1003.729882,Mar-07,Apr-07
Pretty Small,Small,3667.20119,680.7146779,Apr-07,Apr-07
Pretty Small,Small,7822.061839,924.3562961,May-07,May-07
Very Small,Small,4575.527172,657.6493201,Jan-07,Feb-07
Pretty Small,Small,3178.196919,756.2079622,Feb-07,Feb-07
Pretty Small,Small,1734.412429,864.1463819,Mar-07,Mar-07
Bigger,Medium,8601.066096,666.9245543,Apr-07,May-07
Bigger,Medium,8328.445677,898.7091878,May-07,Jun-07
Not as Big,Medium,9715.270001,536.2618535,Jan-07,Jan-07
Bigger,Medium,4722.773352,837.7133332,Feb-07,Mar-07
Not as Big,Medium,3434.694118,574.1248994,Mar-07,Apr-07
Very Small,Small,8696.755983,581.4444768,Apr-07,Apr-07
Not as Big,Medium,9195.079595,1000.672973,May-07,Aug-07
Not Real Big,Big,4168.871715,650.9037446,Jan-07,Feb-07
Not Real Big,Big,885.2432428,323.9768853,Feb-07,Feb-07
Bigger,Medium,3222.210543,760.2840913,Mar-07,Apr-07
Pretty Small,Small,3185.181743,455.464728,Apr-07,May-07
Pretty Small,Small,5050.975928,618.3260163,May-07,Jun-07
Very Small,Small,306.0780834,275.3065373,Jan-07,Jan-07
Pretty Small,Small,9598.976749,613.2911599,Feb-07,Feb-07
Very Small,Small,10338.80065,979.8520025,Mar-07,Apr-07
Bigger,Medium,7350.61229,271.9879436,Apr-07,Jul-07
Very Small,Small,7506.472645,408.0083326,May-07,Aug-07
Very Small,Small,1939.781098,413.9417923,Jan-07,Feb-07
More than 500,Big,7692.216849,1015.874301,Feb-07,Feb-07
Not Real Big,Big,1060.486546,607.3436712,Mar-07,Apr-07
Bigger,Medium,738.5081579,431.4749433,Apr-07,May-07
Very Small,Small,8174.839178,206.6453097,May-07,May-07
Very Small,Small,4368.806237,203.3753447,Jan-07,Feb-07
Pretty Small,Small,1292.519503,123.1056275,Feb-07,Jun-07
More than 500,Big,2210.748757,465.5261879,Mar-07,Mar-07
Not Real Big,Big,4240.744632,737.0688535,Apr-07,May-07
Very Small,Small,5927.04203,501.2388429,May-07,May-07
Very Small,Small,2597.35366,489.9869777,Jan-07,Jan-07
Very Small,Small,9549.486817,835.0236505,Feb-07,Mar-07
Pretty Small,Small,3931.33437,191.4213295,Mar-07,Apr-07
Pretty Small,Small,8578.80358,670.2412286,Apr-07,Apr-07
More than 500,Big,1946.136656,273.5117357,May-07,Jun-07
Not as Big,Medium,9021.016431,402.0587254,Jan-07,Jan-07
Not as Big,Medium,5575.67174,148.3339741,Feb-07,Mar-07
More than 500,Big,1193.066162,148.1347431,Mar-07,Apr-07
Very Small,Small,10340.53335,250.0846509,Apr-07,Apr-07
Very Small,Small,5512.767657,542.6187225,May-07,May-07
Not as Big,Medium,2555.999067,824.1294904,Jan-07,Jan-07
Pretty Small,Small,10157.81367,508.1698277,Feb-07,Mar-07
Bigger,Medium,8921.521857,259.3318537,Mar-07,Apr-07
More than 500,Big,10494.4433,565.4318597,Apr-07,May-07
Bigger,Medium,7007.768245,765.6916988,May-07,Aug-07
Not as Big,Medium,4811.037753,193.1749368,Jan-07,Apr-07
Pretty Small,Small,8657.827185,171.6024125,Feb-07,Mar-07
Bigger,Medium,8204.320599,278.7477844,Mar-07,Jun-07
Pretty Small,Small,4246.883191,644.516491,Apr-07,Jun-07
